main conditions: 
    jump: 10, alpha: 1, vtol: 1.0e-9
    piter: 0, viter: 1:1000
  viteration 1 elapsed time: 0.21474599838256836 seconds
  viteration 2 elapsed time: 0.08325982093811035 seconds
  viteration 3 elapsed time: 0.13602304458618164 seconds
  viteration 4 elapsed time: 0.08081316947937012 seconds
  viteration 5 elapsed time: 0.08466696739196777 seconds
  viteration 6 elapsed time: 0.13064098358154297 seconds
  viteration 7 elapsed time: 0.08341288566589355 seconds
  viteration 8 elapsed time: 0.13277196884155273 seconds
  viteration 9 elapsed time: 0.08189988136291504 seconds
  viteration 10 elapsed time: 0.13503718376159668 seconds
  viteration 11 elapsed time: 0.08052802085876465 seconds
  viteration 12 elapsed time: 0.08420300483703613 seconds
  viteration 13 elapsed time: 0.13191604614257812 seconds
  viteration 14 elapsed time: 0.0833430290222168 seconds
  viteration 15 elapsed time: 0.13315105438232422 seconds
  viteration 16 elapsed time: 0.0818490982055664 seconds
  viteration 17 elapsed time: 0.1342170238494873 seconds
  viteration 18 elapsed time: 0.08057785034179688 seconds
  viteration 19 elapsed time: 0.08434891700744629 seconds
  viteration 20 elapsed time: 0.1324310302734375 seconds
  viteration 21 elapsed time: 0.08331799507141113 seconds
  viteration 22 elapsed time: 0.1334550380706787 seconds
  viteration 23 elapsed time: 0.08155107498168945 seconds
  viteration 24 elapsed time: 0.13533902168273926 seconds
  viteration 25 elapsed time: 0.08075594902038574 seconds
  viteration 26 elapsed time: 0.08402490615844727 seconds
  viteration 27 elapsed time: 0.1318068504333496 seconds
  viteration 28 elapsed time: 0.08304905891418457 seconds
  viteration 29 elapsed time: 0.1333940029144287 seconds
  viteration 30 elapsed time: 0.08177399635314941 seconds
  viteration 31 elapsed time: 0.13393592834472656 seconds
  viteration 32 elapsed time: 0.08073592185974121 seconds
  viteration 33 elapsed time: 0.08415818214416504 seconds
  viteration 34 elapsed time: 0.13126492500305176 seconds
  viteration 35 elapsed time: 0.08297109603881836 seconds
  viteration 36 elapsed time: 0.13260412216186523 seconds
  viteration 37 elapsed time: 0.08149886131286621 seconds
  viteration 38 elapsed time: 0.1341249942779541 seconds
  viteration 39 elapsed time: 0.08098816871643066 seconds
  viteration 40 elapsed time: 0.08392786979675293 seconds
  viteration 41 elapsed time: 0.13145899772644043 seconds
  viteration 42 elapsed time: 0.08269286155700684 seconds
  viteration 43 elapsed time: 0.13341808319091797 seconds
  viteration 44 elapsed time: 0.08182311058044434 seconds
  viteration 45 elapsed time: 0.1346430778503418 seconds
  viteration 46 elapsed time: 0.08091211318969727 seconds
  viteration 47 elapsed time: 0.08391094207763672 seconds
  viteration 48 elapsed time: 0.13184213638305664 seconds
  viteration 49 elapsed time: 0.08273983001708984 seconds
  viteration 50 elapsed time: 0.13421392440795898 seconds
  viteration 51 elapsed time: 0.0816640853881836 seconds
  viteration 52 elapsed time: 0.13463282585144043 seconds
  viteration 53 elapsed time: 0.08074188232421875 seconds
  viteration 54 elapsed time: 0.08440303802490234 seconds
  viteration 55 elapsed time: 0.13265681266784668 seconds
  viteration 56 elapsed time: 0.08260989189147949 seconds
  viteration 57 elapsed time: 0.13499689102172852 seconds
  viteration 58 elapsed time: 0.08143210411071777 seconds
  viteration 59 elapsed time: 0.13468384742736816 seconds
  viteration 60 elapsed time: 0.08088207244873047 seconds
  viteration 61 elapsed time: 0.08395981788635254 seconds
  viteration 62 elapsed time: 0.13227319717407227 seconds
  viteration 63 elapsed time: 0.08282899856567383 seconds
  viteration 64 elapsed time: 0.13262081146240234 seconds
  viteration 65 elapsed time: 0.08141613006591797 seconds
  viteration 66 elapsed time: 0.13573503494262695 seconds
  viteration 67 elapsed time: 0.08096098899841309 seconds
  viteration 68 elapsed time: 0.07288217544555664 seconds
  viteration 69 elapsed time: 0.11621809005737305 seconds
  viteration 70 elapsed time: 0.0696408748626709 seconds
  viteration 71 elapsed time: 0.12044692039489746 seconds
  viteration 72 elapsed time: 0.06826400756835938 seconds
  viteration 73 elapsed time: 0.11890292167663574 seconds
  viteration 74 elapsed time: 0.06824207305908203 seconds
  viteration 75 elapsed time: 0.0755009651184082 seconds
  viteration 76 elapsed time: 0.11949396133422852 seconds
  viteration 77 elapsed time: 0.07066917419433594 seconds
  viteration 78 elapsed time: 0.11922407150268555 seconds
probably reached convergance 5538.843892736077
viter total elapsed time: 8.151984930038452 seconds
elapsed time: 8.751860857009888 seconds

jameson@julia:~/dp-mapmaker$ ../julia/julia -L mapmaker.jl -e "mapmaker.main()"
main conditions: 
    jump: 10, alpha: 1, vtol: 1.0e9
    piter: 1:100, viter: 1:1
piteration 1 elapsed time: 0.4363100528717041 seconds
  viteration 1 elapsed time: 0.1484699249267578 seconds
viter total elapsed time: 0.14863085746765137 seconds
piteration 2 elapsed time: 0.4158949851989746 seconds
  viteration 1 elapsed time: 0.0382380485534668 seconds
viter total elapsed time: 0.038350820541381836 seconds
piteration 3 elapsed time: 0.42118096351623535 seconds
  viteration 1 elapsed time: 0.0768289566040039 seconds
viter total elapsed time: 0.07697200775146484 seconds
piteration 4 elapsed time: 0.41765308380126953 seconds
  viteration 1 elapsed time: 0.03793191909790039 seconds
viter total elapsed time: 0.03803110122680664 seconds
piteration 5 elapsed time: 0.41846299171447754 seconds
  viteration 1 elapsed time: 0.0730280876159668 seconds
viter total elapsed time: 0.07317805290222168 seconds
piteration 6 elapsed time: 0.4167289733886719 seconds
  viteration 1 elapsed time: 0.038088083267211914 seconds
viter total elapsed time: 0.038197994232177734 seconds
piteration 7 elapsed time: 0.41785597801208496 seconds
  viteration 1 elapsed time: 0.07249093055725098 seconds
viter total elapsed time: 0.07263803482055664 seconds
piteration 8 elapsed time: 0.41724491119384766 seconds
  viteration 1 elapsed time: 0.03821706771850586 seconds
viter total elapsed time: 0.03830409049987793 seconds
piteration 9 elapsed time: 0.41648101806640625 seconds
  viteration 1 elapsed time: 0.07323408126831055 seconds
viter total elapsed time: 0.07338404655456543 seconds
piteration 10 elapsed time: 0.4180610179901123 seconds
  viteration 1 elapsed time: 0.03828907012939453 seconds
viter total elapsed time: 0.03840494155883789 seconds
piteration 11 elapsed time: 0.4164550304412842 seconds
  viteration 1 elapsed time: 0.0739438533782959 seconds
viter total elapsed time: 0.07409095764160156 seconds
piteration 12 elapsed time: 0.41612696647644043 seconds
  viteration 1 elapsed time: 0.039346933364868164 seconds
viter total elapsed time: 0.03946805000305176 seconds
piteration 13 elapsed time: 0.42376112937927246 seconds
  viteration 1 elapsed time: 0.07327604293823242 seconds
viter total elapsed time: 0.07341909408569336 seconds
piteration 14 elapsed time: 0.417665958404541 seconds
  viteration 1 elapsed time: 0.03827214241027832 seconds
viter total elapsed time: 0.03837394714355469 seconds
piteration 15 elapsed time: 0.4550750255584717 seconds
  viteration 1 elapsed time: 0.037384986877441406 seconds
viter total elapsed time: 0.03748798370361328 seconds
piteration 16 elapsed time: 0.369143009185791 seconds
  viteration 1 elapsed time: 0.035323143005371094 seconds
viter total elapsed time: 0.03543400764465332 seconds
piteration 17 elapsed time: 0.3840641975402832 seconds
  viteration 1 elapsed time: 0.03165006637573242 seconds
viter total elapsed time: 0.03174996376037598 seconds
piteration 18 elapsed time: 0.3492250442504883 seconds
  viteration 1 elapsed time: 0.0664520263671875 seconds
viter total elapsed time: 0.06660294532775879 seconds
piteration 19 elapsed time: 0.34729790687561035 seconds
  viteration 1 elapsed time: 0.03142690658569336 seconds
viter total elapsed time: 0.031529903411865234 seconds
piteration 20 elapsed time: 0.3482239246368408 seconds
  viteration 1 elapsed time: 0.06714391708374023 seconds
viter total elapsed time: 0.06729984283447266 seconds
piteration 21 elapsed time: 0.34795093536376953 seconds
  viteration 1 elapsed time: 0.03145098686218262 seconds
viter total elapsed time: 0.031555891036987305 seconds
piteration 22 elapsed time: 0.3472909927368164 seconds
  viteration 1 elapsed time: 0.06667208671569824 seconds
viter total elapsed time: 0.06681299209594727 seconds
piteration 23 elapsed time: 0.34720301628112793 seconds
  viteration 1 elapsed time: 0.031744956970214844 seconds
viter total elapsed time: 0.031845808029174805 seconds
piteration 24 elapsed time: 0.347991943359375 seconds
  viteration 1 elapsed time: 0.06792688369750977 seconds
probably reached convergance 5538.843892736077
viter total elapsed time: 0.09801983833312988 seconds
reached convergance 5538.843892736077
elapsed time: 11.352734088897705 seconds
main conditions: 
    jump: 10, alpha: 1, vtol: 1.0e9
    piter: 1:100, viter: 1:2
piteration 1 elapsed time: 0.34839487075805664 seconds
  viteration 1 elapsed time: 0.031823158264160156 seconds
  viteration 2 elapsed time: 0.06888413429260254 seconds
viter total elapsed time: 0.10095596313476562 seconds
piteration 2 elapsed time: 0.3482339382171631 seconds
  viteration 1 elapsed time: 0.03153800964355469 seconds
  viteration 2 elapsed time: 0.032829999923706055 seconds
viter total elapsed time: 0.06457185745239258 seconds
piteration 3 elapsed time: 0.38443994522094727 seconds
  viteration 1 elapsed time: 0.03141498565673828 seconds
  viteration 2 elapsed time: 0.03232216835021973 seconds
viter total elapsed time: 0.06394100189208984 seconds
piteration 4 elapsed time: 0.3815619945526123 seconds
  viteration 1 elapsed time: 0.03142595291137695 seconds
  viteration 2 elapsed time: 0.03234505653381348 seconds
viter total elapsed time: 0.06399297714233398 seconds
piteration 5 elapsed time: 0.349498987197876 seconds
  viteration 1 elapsed time: 0.06799793243408203 seconds
  viteration 2 elapsed time: 0.032453060150146484 seconds
viter total elapsed time: 0.10068583488464355 seconds
piteration 6 elapsed time: 0.3467569351196289 seconds
  viteration 1 elapsed time: 0.06640505790710449 seconds
  viteration 2 elapsed time: 0.032196998596191406 seconds
viter total elapsed time: 0.09884405136108398 seconds
piteration 7 elapsed time: 0.3463871479034424 seconds
  viteration 1 elapsed time: 0.06717205047607422 seconds
  viteration 2 elapsed time: 0.03214716911315918 seconds
viter total elapsed time: 0.09955906867980957 seconds
piteration 8 elapsed time: 0.3473019599914551 seconds
  viteration 1 elapsed time: 0.06768012046813965 seconds
  viteration 2 elapsed time: 0.03192710876464844 seconds
viter total elapsed time: 0.09984111785888672 seconds
piteration 9 elapsed time: 0.34812498092651367 seconds
  viteration 1 elapsed time: 0.06699800491333008 seconds
  viteration 2 elapsed time: 0.0317988395690918 seconds
viter total elapsed time: 0.09903502464294434 seconds
piteration 10 elapsed time: 0.34761905670166016 seconds
  viteration 1 elapsed time: 0.06893396377563477 seconds
  viteration 2 elapsed time: 0.0316159725189209 seconds
viter total elapsed time: 0.10079312324523926 seconds
piteration 11 elapsed time: 0.34769487380981445 seconds
  viteration 1 elapsed time: 0.06980705261230469 seconds
  viteration 2 elapsed time: 0.03145098686218262 seconds
viter total elapsed time: 0.10149598121643066 seconds
piteration 12 elapsed time: 0.34705185890197754 seconds
  viteration 1 elapsed time: 0.06772708892822266 seconds
  viteration 2 elapsed time: 0.03143501281738281 seconds
probably reached convergance 5538.843892736077
viter total elapsed time: 0.12202000617980957 seconds
piteration 13 elapsed time: 0.3622920513153076 seconds
  viteration 1 elapsed time: 0.03223085403442383 seconds
probably reached convergance 5538.843892736077
viter total elapsed time: 0.09287595748901367 seconds
reached convergance 5538.843892736077
elapsed time: 5.935767889022827 seconds
main conditions: 
    jump: 10, alpha: 1, vtol: 1.0e9
    piter: 1:100, viter: 1:3
piteration 1 elapsed time: 0.39348578453063965 seconds
  viteration 1 elapsed time: 0.03150510787963867 seconds
  viteration 2 elapsed time: 0.03249001502990723 seconds
  viteration 3 elapsed time: 0.0692598819732666 seconds
viter total elapsed time: 0.13359808921813965 seconds
piteration 2 elapsed time: 0.3496668338775635 seconds
  viteration 1 elapsed time: 0.0322270393371582 seconds
  viteration 2 elapsed time: 0.06813502311706543 seconds
  viteration 3 elapsed time: 0.03202700614929199 seconds
viter total elapsed time: 0.1327219009399414 seconds
piteration 3 elapsed time: 0.3486599922180176 seconds
  viteration 1 elapsed time: 0.06726288795471191 seconds
  viteration 2 elapsed time: 0.03190493583679199 seconds
  viteration 3 elapsed time: 0.06902813911437988 seconds
viter total elapsed time: 0.1685948371887207 seconds
piteration 4 elapsed time: 0.3482959270477295 seconds
  viteration 1 elapsed time: 0.031553030014038086 seconds
  viteration 2 elapsed time: 0.06932210922241211 seconds
